,title,description,date,type,comp_short,data_exchange,data-price
26,Российский рынок акций по итогам года рухнул на 43%,"В 2023 году аналитики ожидают, что российский рынок акций сможет частично восстановиться. Наиболее оптимистичный прогноз предполагает рост индекса Мосбиржи до 3090 к концу 2023 года","30 дек 2022, 18:58",Новости,"['IMOEX', 'RTSI']","['0.329', '3.608']","['2154.12', '970.6']"
27,СПБ Биржа возобновит торги бумагами компаний РФ с иностранной «пропиской»,"С 9 января на СПБ Бирже снова можно будет торговать бумагами «Яндекса», Cian, HeadHunter, Ozon и X5 Retail Group","30 дек 2022, 18:18",Новости,"['YDEX', 'OZON', 'FIVE']","['-0.099', '-0.708', '-1.445']","['1817.8', '1402', '1500.5']"
28,Топ событий на СПБ Бирже: рекордный обвал Tesla и обедневшие миллиардеры,"Каждую неделю «РБК Инвестиции» отбирают пять заметных историй на мировых торговых площадках, за которыми следили инвесторы. Рассказываем о самых важных событиях последних дней","30 дек 2022, 18:09",События недели,"['SPBE', 'TSLA']","['1.051', '-0.114']","['115.4', '122.94']"
29,"Цена на газ в Европе обвалилась почти на 12%, до минимума с февраля",В декабре биржевые цены на газ в Европе снижаются на фоне необычно теплой погоды в регионе и высокого уровня заполненности хранилищ,"30 дек 2022, 15:22",Новости,"['BRENT', 'LKOH', 'ROSN']","['6.383', '1.181', '1.613']","['87.5', '4069.5', '365.4']"
30,Индекс Hang Seng показал самое сильное годовое снижение с 2011 года,"На протяжении 2022 года основными факторами, оказывающими давление на китайский фондовый рынок, стали глобальная инфляция и политика «нулевого COVID», проводимая властями Китая","30 дек 2022, 13:57",Новости,"['CNY/RUB', 'USD/RUB']","['-2.69', '-3.152']","['9.912', '69.9']"
31,Акции «Яндекса» упали после прощания Воложа с сотрудниками,3 июня основатель «Яндекса» попал в санкционный список ЕС. После этого он оставил руководящие должности в компании — вышел из совета директоров и покинул пост гендиректора группы,"30 дек 2022, 13:14",Новости,['YDEX'],['-0.099'],['1817.8']
32,Курс евро вновь превысил ₽77,В то же время доллар дешевеет по отношению к рублю,"30 дек 2022, 12:37",Новости,"['EUR/RUB', 'EUR/USD', 'USD/RUB']","['-2.237', '0.574', '-3.152']","['74.3', '1.06005', '69.9']"
33,В «Локо-Инвест» допустили подъем курса доллара выше ₽80 в 2023 году,"В случае если реализуется пессимистичный сценарий, в 2023 году доллар может торговаться в диапазоне от ₽68,4 до ₽92,4, в среднем курс составит ₽81,3","30 дек 2022, 10:52",Новости,"['USD/RUB', 'CNY/RUB', 'EUR/RUB']","['-3.152', '-2.69', '-2.237']","['69.9', '9.912', '74.3']"
34,Брокеры обособят часть бумаг перед их разблокировкой в Clearstream,"Брокер «Тинькофф Инвестиции» предупредил клиентов, что для разблокировки в рамках лицензии Люксембурга НРД поручил брокерам временно заморозить иностранные активы для их последующего перевода","30 дек 2022, 09:41",Новости,['IMOEX'],['0.329'],['2154.12']
35,"Рост индекса Мосбиржи, отскок в акциях США: дайджест инвестора","Индекс Мосбиржи вырос после падения среды, но торговая активность оставалась низкой. Рынок США отскочил после выхода данных по рынку труда и закрылся в плюсе впервые на этой неделе. События, которые влияют на рынок","30 дек 2022, 08:59",События дня,"['IMOEX', 'SBERP', 'IRAO']","['0.329', '0.88', '-0.876']","['2154.12', '140.99', '3.3945']"
36,Что будет с вкладами в 2023-м: прогноз по ставкам и изменения в законах,"Смогут ли банковские депозиты в 2023 году принести вкладчикам реальную доходность выше инфляции, когда нужно положить деньги и на какой срок, на какие ставки можно рассчитывать — в обзоре с банковскими экспертами","30 дек 2022, 08:30",РБК Банки,"['USD', 'CNY', 'EUR']","['0.04476140609109', '0.20142101418801', '0.36293918062349']","['96.1079', '13.581', '105.6891']"
37,"Мусульманам России объяснили, какие акции для них под запретом","В Духовном управлении мусульман России выделили три вида эмитентов. Одни соблюдают законы шариата и разрешены, другие нарушают их и полностью под запретом, а по третьим — смешанным — есть отдельное решение","29 дек 2022, 20:03",Новости,"['SBER', 'IMOEX']","['1.039', '0.341']","['140.96', '2147.06']"
38,Топ-5 взлетов и падений российского рынка акций в 2022 году,"В этом году торги на фондовом рынке были очень волатильными. Индекс Мосбиржи резко снизился в феврале, но к концу года отыграл часть потерь. В подборке «РБК Инвестиций» — самые успешные и самые разочаровывающие дни года","29 дек 2022, 19:12",Новости,"['IMOEX', 'MOEX', 'GAZP', 'SBER']","['0.341', '-0.032', '0.674', '1.039']","['2147.06', '94.88', '162.91', '140.96']"
39,НРД отменил комиссию для разблокировки бумаг в Clearstream,Национальный расчетный депозитарий временно не будет взимать плату за перевод иностранных ценных бумаг на торговый раздел,"29 дек 2022, 17:19",Новости,"['IMOEX', 'RTSI']","['0.341', '0.326']","['2147.06', '936.8']"
40,"«Пять дней, которые убили год». На их долю пришлось 95% потерь S&P 500","В 2022 году индекс S&P 500 чаще завершал торговую сессию падением, а не ростом. Это нетипичное поведение для американского рынка акций","29 дек 2022, 16:39",Новости,"['AAPL', 'WMT', 'TGT', 'GOOGL', 'AMZN']","['2.656', '0.609', '1.763', '2.649', '2.772']","['129.48', '142.15', '148.37', '88.35', '84.16']"
41,"Что делать, если нечем платить кредит: 3 варианта решения без банкротства","Мы изучили несколько вариантов для тех, кому стало трудно платить по кредитам. Вместе с экспертами рассказываем, как найти деньги на платежи, что такое реструктуризация и кому можно взять кредитные каникулы","29 дек 2022, 16:35",Инструкции,"['USD/RUB', 'EUR/RUB']","['-0.021', '-0.524']","['72.175', '76']"
42,Силуанов не увидел желания у бельгийской стороны разблокировать активы,"После обращения НРД в европейские судебные инстанции Минфин Бельгии выдал разрешение на разблокировку активов, однако срок для разблокировки слишком мал, считает глава Минфина Антон Силуанов","29 дек 2022, 12:52",Новости,"['IMOEX', 'RTSI']","['0.341', '0.326']","['2147.06', '936.8']"
43,Акции ИСКЧ подскочили на 9% на фоне сделки с «дочкой» «Ростеха»,"ПАО «Институт стволовых клеток человека» и фармхолдинг «Нацимбио» договорились о проведении исследований, производстве и коммерциализации совместно разработанной комбинированной вакцины для профилактики гриппа и COVID-19","29 дек 2022, 12:44",Новости,"['MRNA', 'PFE', 'JNJ', 'GECO', 'ABIO']","['1.335', '0.985', '0.362', '-1.7199758599879', '3.344']","['179.11', '51.26', '177.3', '32.57', '63.04']"
44,Эксперты предупредили о не связанном с рецессией риске для акций США,"В исследовательской компании Ned Davis Researc уверены, что сейчас прогнозы по прибыли сильно завышены. В дальнейшем они неминуемо будут пересматриваться, что ударит по ценам на акции","29 дек 2022, 09:56",Новости,"['TSLA', 'AAPL']","['8.441', '2.656']","['123.08', '129.48']"
45,РБК запускает сервис для клиентов банков,"РБК приглашает своих читателей принять участие в публичном бета-тестировании нового продукта — сервиса для клиентов банков, который будет запущен на нашей платформе в 2023 году","29 дек 2022, 09:00",Новости,"['USD/RUB', 'EUR/RUB']","['-0.021', '-0.524']","['72.175', '76']"
46,"Ослабление рубля, акции ВТБ, падение поставок газа и нефти РФ: дайджест","Курс российской валюты продолжил снижаться против доллара. ВТБ вынесет на общее собрание акционеров вопрос о допэмиссии. Экспорт нефти и газа из России в ЕС заметно сократился. События, которые влияют на рынок","29 дек 2022, 08:47",События дня,"['BRENT', 'USD/RUB']","['-0.856', '-0.021']","['82.25', '72.175']"
47,Стратегия «Тинькофф Инвестиций» на 2023 год: как обогнать индекс Мосбиржи,В стратегии аналитики также перечислили своих фаворитов на 2023 год и оценили инвестиционную привлекательность каждого из секторов,"28 дек 2022, 20:04",Новости,"['LKOH', 'PLZL', 'FIVE', 'OZON', 'YDEX']","['-0.323', '-1.17', '-1.267', '-1.35', '-0.992']","['4015.5', '7770', '1520', '1388.5', '1815.8']"
48,Как изменились стратегии VIP-клиентов банков и управляющих компаний,2022 год был непростым для инвесторов во всем мире. Но российским пришлось особенно сложно. Все инвестиционные стратегии теперь приходится корректировать. Изменили их и клиенты профессиональных управляющих,"28 дек 2022, 19:09",Что это значит,"['GOLD', 'Silver', 'BRENT', 'PLZL']","['-1.692', '-2.394', '-3.016', '-1.17']","['1771.8', '23.24', '82.96', '7770']"
49,Путин подписал закон о сохранении льгот при переводе бумаг из-за санкций,Владельцы инвестиционных счетов сохранят право на налоговый вычет при переводе иностранных ценных бумаг от одного брокера к другому из-за санкций,"28 дек 2022, 17:17",Новости,"['IMOEX', 'MOEX', 'USD/RUB']","['-0.518', '0.754', '2.543']","['2139.77', '94.91', '72.19']"
50,Курс доллара превысил ₽72 второй раз за последнюю неделю,Спрос на рубли на российском валютном рынке упал по окончании налогового периода,"28 дек 2022, 15:19",Новости,"['USD/RUB', 'EUR/USD', 'EUR/RUB']","['2.543', '-0.236', '1.867']","['72.19', '1.059', '76.4']"
51,Акции Tesla обновили минимум с июля 2020 года,Акции Tesla упали до самого низкого уровня более чем за два года. За последние 12 месяцев производитель электрокаров потерял около 70% капитализации,"28 дек 2022, 14:34",Новости,['TSLA'],['5.307'],['113.5']
52,ЦБ указал на отсутствие гарантий разморозки активов при наличии лицензий,"Регулятор не уверен в возможности успешной разблокировки из-за сжатых сроков, размытости формулировок в разрешениях и сложности самой процедуры","28 дек 2022, 14:02",Новости,"['TSLA', 'NVDA', 'AAPL']","['5.307', '-0.007', '-2.969']","['113.5', '140.35', '126.13']"
53,"Разблокировка активов в НРД, цены на нефть, обвал акций Tesla: дайджест","НРД пояснил, какие активы можно перевести по лицензии Бельгии и куда. Цены на Brent временно подскочили на новости об ответных мерах России на потолок цен. Акции Tesla обвалились на 11%. События, которые влияют на рынок","28 дек 2022, 08:51",События дня,"['BRENT', 'TSLA']","['-3.016', '5.307']","['82.96', '113.5']"
