BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
SMAL,2018-05-23,ГАЗПРОМ ао,GAZP,12,4809.35,144.68,144.68,146.61,,145.86,146.52,33,,,,0.0,0.0,0.0,,3,SUR,-0.31
TQBR,2018-05-23,ГАЗПРОМ ао,GAZP,22570,2836768445.2,146.2,144.88,146.94,146.06,145.86,146.06,19449120,145.86,145.86,146.06,2836768445.2,2836768445.2,2836768445.2,,3,SUR,-0.3
EQDP,2018-05-24,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-24,ГАЗПРОМ ао,GAZP,19,5514.34,145.08,144.71,145.99,,145.79,144.96,38,,,,0.0,0.0,0.0,,3,SUR,-1.06
TQBR,2018-05-24,ГАЗПРОМ ао,GAZP,28548,2998071458.0,146.29,144.93,147.15,145.27,145.79,145.27,20563940,145.79,145.79,145.27,2998071458.0,2998071458.0,2998071458.0,,3,SUR,-0.54
EQDP,2018-05-25,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-25,ГАЗПРОМ ао,GAZP,6,5059.61,144.48,144.46,145.23,,145.26,144.79,35,,,,0.0,0.0,0.0,,3,SUR,-0.12
TQBR,2018-05-25,ГАЗПРОМ ао,GAZP,23435,2633117946.2,145.62,144.36,146.3,145.09,145.26,145.09,18126630,145.26,145.26,145.09,2633117946.2,2633117946.2,2633117946.2,,3,SUR,-0.12
EQDP,2018-05-28,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-28,ГАЗПРОМ ао,GAZP,10,2898.54,144.59,144.58,146.17,,145.29,145.98,20,,,,0.0,0.0,0.0,,3,SUR,0.82
TQBR,2018-05-28,ГАЗПРОМ ао,GAZP,10231,972141291.9,145.65,144.75,145.75,145.09,145.29,145.09,6690610,145.3,145.3,145.09,972141291.9,972141291.9,972141291.9,,3,SUR,0.0
EQDP,2018-05-29,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-29,ГАЗПРОМ ао,GAZP,13,5312.12,143.38,143.35,144.64,,143.76,144.64,37,,,,0.0,0.0,0.0,,3,SUR,-0.92
TQBR,2018-05-29,ГАЗПРОМ ао,GAZP,22408,2530722338.0,145.58,142.88,145.61,143.9,143.76,143.9,17599120,143.8,143.8,143.9,2530722338.0,2530722338.0,2530722338.0,,3,SUR,-0.82
EQDP,2018-05-30,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-30,ГАЗПРОМ ао,GAZP,5,1706.67,141.97,141.96,143.3,,143.7,143.3,12,,,,0.0,0.0,0.0,,3,SUR,-0.93
TQBR,2018-05-30,ГАЗПРОМ ао,GAZP,27824,3140834064.2,144.0,142.52,144.82,143.26,143.7,143.26,21857180,143.7,143.7,143.26,3140834064.2,3140834064.2,3140834064.2,,3,SUR,-0.44
EQDP,2018-05-31,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-05-31,ГАЗПРОМ ао,GAZP,17,5631.76,144.68,144.0,145.79,,144.59,145.0,39,,,,0.0,0.0,0.0,,3,SUR,1.19
TQBR,2018-05-31,ГАЗПРОМ ао,GAZP,23068,4902512649.3,143.26,143.26,145.21,145.0,144.59,145.0,33905170,144.59,144.59,145.0,4902512649.3,4902512649.3,4902512649.3,,3,SUR,1.21
EQDP,2018-06-01,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-01,ГАЗПРОМ ао,GAZP,15,6228.85,145.79,144.6,145.79,,144.72,144.6,43,,,,0.0,0.0,0.0,,3,SUR,-0.28
TQBR,2018-06-01,ГАЗПРОМ ао,GAZP,20724,2538435935.0,144.58,143.55,145.5,144.0,144.72,144.0,17540300,144.72,144.72,144.0,2538435935.0,2538435935.0,2538435935.0,,3,SUR,-0.69
EQDP,2018-06-04,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-04,ГАЗПРОМ ао,GAZP,27,10070.75,145.41,145.29,147.44,,146.04,145.74,69,,,,0.0,0.0,0.0,,3,SUR,0.79
TQBR,2018-06-04,ГАЗПРОМ ао,GAZP,19015,1872071628.4,144.51,144.51,146.9,146.44,146.04,146.44,12818540,146.04,146.04,146.44,1872071628.4,1872071628.4,1872071628.4,,3,SUR,1.69
EQDP,2018-06-05,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-05,ГАЗПРОМ ао,GAZP,18,5233.4,145.3,144.85,146.2,,145.85,145.97,36,,,,0.0,0.0,0.0,,3,SUR,0.16
TQBR,2018-06-05,ГАЗПРОМ ао,GAZP,15701,1854791168.9,146.51,145.22,146.54,146.0,145.85,146.0,12717550,145.85,145.85,146.0,1854791168.9,1854791168.9,1854791168.9,,3,SUR,-0.3
EQDP,2018-06-06,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-06,ГАЗПРОМ ао,GAZP,8,3205.15,145.31,145.3,146.26,,146.27,146.26,22,,,,0.0,0.0,0.0,,3,SUR,0.2
TQBR,2018-06-06,ГАЗПРОМ ао,GAZP,20660,2515537947.7,146.44,145.53,146.9,146.9,146.27,146.9,17197640,146.27,146.27,146.9,2515537947.7,2515537947.7,2515537947.7,,3,SUR,0.62
EQDP,2018-06-07,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-07,ГАЗПРОМ ао,GAZP,10,3060.69,145.58,145.57,146.5,,146.66,145.85,21,,,,0.0,0.0,0.0,,3,SUR,-0.28
TQBR,2018-06-07,ГАЗПРОМ ао,GAZP,14979,1806894266.5,147.1,146.0,147.5,146.05,146.66,146.05,12320600,146.66,146.66,146.05,1806894266.5,1806894266.5,1806894266.5,,3,SUR,-0.58
EQDP,2018-06-08,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-08,ГАЗПРОМ ао,GAZP,8,3306.86,143.24,143.24,144.82,,144.58,144.72,23,,,,0.0,0.0,0.0,,3,SUR,-0.77
TQBR,2018-06-08,ГАЗПРОМ ао,GAZP,37342,3529483206.2,145.98,143.05,146.75,143.05,144.58,143.05,24412340,144.58,144.58,143.05,3529483206.2,3529483206.2,3529483206.2,,3,SUR,-2.05
EQDP,2018-06-09,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-09,ГАЗПРОМ ао,GAZP,2,429.72,143.24,143.24,143.24,,143.84,143.24,3,,,,0.0,0.0,0.0,,3,SUR,-1.02
TQBR,2018-06-09,ГАЗПРОМ ао,GAZP,3124,227421701.8,143.31,143.3,144.15,144.08,143.84,144.08,1581110,143.84,143.84,144.08,227421701.8,227421701.8,227421701.8,,3,SUR,0.72
EQDP,2018-06-11,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-11,ГАЗПРОМ ао,GAZP,6,2573.59,142.96,142.96,143.0,,142.33,143.0,18,,,,0.0,0.0,0.0,,3,SUR,-0.17
TQBR,2018-06-11,ГАЗПРОМ ао,GAZP,16461,1807310144.3,143.8,141.56,144.18,142.28,142.33,142.28,12697960,142.33,142.33,142.28,1807310144.3,1807310144.3,1807310144.3,,3,SUR,-1.25
EQDP,2018-06-13,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-13,ГАЗПРОМ ао,GAZP,9,2810.03,140.35,140.32,140.66,,141.68,140.41,20,,,,0.0,0.0,0.0,,3,SUR,-1.81
TQBR,2018-06-13,ГАЗПРОМ ао,GAZP,26650,3331607131.6,142.7,140.63,142.78,141.0,141.68,141.0,23515540,141.68,141.68,141.0,3331607131.6,3331607131.6,3331607131.6,,3,SUR,-0.9
