BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
SMAL,2022-08-05,ГАЗПРОМ ао,GAZP,68,18991.15,187.84,175.61,187.84,,178.96,178.39,106,,,,0.0,0.0,0.0,0,3,SUR,-3.57
TQBR,2022-08-05,ГАЗПРОМ ао,GAZP,158690,8786618233.8,184.7,175.75,185.62,176.58,178.96,176.58,49095300,178.97,178.97,176.58,8786618233.8,8786618233.8,8786618233.8,0,3,SUR,-4.5
SMAL,2022-08-08,ГАЗПРОМ ао,GAZP,23,8052.46,179.0,178.1,181.98,,179.32,180.97,45,,,,0.0,0.0,0.0,0,3,SUR,1.45
TQBR,2022-08-08,ГАЗПРОМ ао,GAZP,92298,5952031552.7,180.0,177.25,181.82,177.86,179.32,177.86,33176870,179.4,179.4,177.86,5952031552.7,5952031552.7,5952031552.7,0,3,SUR,0.72
SMAL,2022-08-09,ГАЗПРОМ ао,GAZP,47,13562.11,182.72,175.56,182.72,,177.44,180.48,76,,,,0.0,0.0,0.0,0,3,SUR,-0.27
TQBR,2022-08-09,ГАЗПРОМ ао,GAZP,78043,4335812122.5,178.0,175.2,181.38,181.04,177.44,181.04,24425460,177.51,177.51,181.04,4335812122.5,4335812122.5,4335812122.5,0,3,SUR,1.79
SMAL,2022-08-10,ГАЗПРОМ ао,GAZP,24,5985.51,182.77,179.0,182.77,,180.31,179.0,33,,,,0.0,0.0,0.0,0,3,SUR,-0.82
TQBR,2022-08-10,ГАЗПРОМ ао,GAZP,66593,3689666299.6,181.04,178.53,182.33,178.81,180.31,178.81,20457670,180.36,180.36,178.81,3689666299.6,3689666299.6,3689666299.6,0,3,SUR,-1.23
SMAL,2022-08-11,ГАЗПРОМ ао,GAZP,80,26075.88,178.5,174.0,183.99,,176.79,174.23,147,,,,0.0,0.0,0.0,0,3,SUR,-2.66
TQBR,2022-08-11,ГАЗПРОМ ао,GAZP,112234,4737649646.3,179.49,173.51,180.63,174.1,176.79,174.1,26791740,176.83,176.83,174.1,4737649646.3,4737649646.3,4737649646.3,0,3,SUR,-2.63
SMAL,2022-08-12,ГАЗПРОМ ао,GAZP,25,13831.24,176.6,173.0,176.6,,173.85,175.87,79,,,,0.0,0.0,0.0,0,3,SUR,0.94
TQBR,2022-08-12,ГАЗПРОМ ао,GAZP,76250,3566318422.3,174.5,172.29,175.88,174.36,173.85,174.36,20504730,173.93,173.93,174.36,3566318422.3,3566318422.3,3566318422.3,0,3,SUR,0.15
SMAL,2022-08-15,ГАЗПРОМ ао,GAZP,38,13592.21,178.99,173.0,178.99,,173.58,173.25,78,,,,0.0,0.0,0.0,0,3,SUR,-1.49
TQBR,2022-08-15,ГАЗПРОМ ао,GAZP,72198,3212875207.0,174.01,172.4,175.5,174.8,173.58,174.8,18502690,173.64,173.64,174.8,3212875207.0,3212875207.0,3212875207.0,0,3,SUR,0.25
SMAL,2022-08-16,ГАЗПРОМ ао,GAZP,28,9654.72,176.97,174.34,181.52,,179.22,181.17,54,,,,0.0,0.0,0.0,0,3,SUR,4.57
TQBR,2022-08-16,ГАЗПРОМ ао,GAZP,113051,5929273182.8,175.5,174.7,181.61,181.3,179.22,181.3,33089780,179.19,179.19,181.3,5929273182.8,5929273182.8,5929273182.8,0,3,SUR,3.72
SMAL,2022-08-17,ГАЗПРОМ ао,GAZP,33,11232.34,181.0,177.0,181.0,,178.66,177.0,63,,,,0.0,0.0,0.0,0,3,SUR,-2.3
TQBR,2022-08-17,ГАЗПРОМ ао,GAZP,82488,4330322783.8,181.9,176.4,182.49,176.5,178.66,176.5,24237120,178.66,178.66,176.5,4330322783.8,4330322783.8,4330322783.8,0,3,SUR,-2.65
SMAL,2022-08-18,ГАЗПРОМ ао,GAZP,10,3370.72,176.0,176.0,177.97,,177.08,177.96,19,,,,0.0,0.0,0.0,0,3,SUR,0.54
TQBR,2022-08-18,ГАЗПРОМ ао,GAZP,60851,2841732723.0,176.3,175.5,179.37,178.87,177.08,178.87,16035660,177.21,177.21,178.87,2841732723.0,2841732723.0,2841732723.0,0,3,SUR,1.34
SMAL,2022-08-19,ГАЗПРОМ ао,GAZP,38,9080.83,179.78,176.02,180.29,,177.42,178.0,51,,,,0.0,0.0,0.0,0,3,SUR,0.02
TQBR,2022-08-19,ГАЗПРОМ ао,GAZP,36735,1635528371.4,178.78,176.6,178.9,177.6,177.42,177.6,9218560,177.42,177.42,177.6,1635528371.4,1635528371.4,1635528371.4,0,3,SUR,-0.71
